input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
Walls don work except at Bezos mansion Pelosi mansion Hillary mansion Obama mansion Waters mansion Feinstein mansion Oprah mansion Zuckerberg mansion Madonna mansion Don won to say told ya so but Fucking told you so Khawaja shouldve been dropped only ave 22 this summer that includes 72 he is nothing more than list clogger ATM delaying the likes of Will Pucovski gaining experience for England beyond blame Langer AusvSL Jimmy Buffet,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Catch my remarks at the International Conference for Democracy in Venezuela You can watch it live at 10 30am ET,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
Dude that does not say reported you But if did acknowledge,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Afghanistan has approx homicides per 100k people,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Mongo,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
Mary Weglarz believes in That or she believes in PocPrivilege and only blacks browns and Jews deserve home Which is it Mary,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
Tucker had professor on who was justifying whites being removed from movies etc saying that white children have to see blacks in good roles and as heroes When whites are brainwashed from birth it not fair to blame them when they don know as adults,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
Carbon dioxide is colourless odourless atmospheric trace gas essential to all life on Earth Deceitfully or ignorantly calling it pollution shows your argument for climate action is so weak that you attempt to fool voters into thinking CO2 is particulate pollution,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Some people get genuinely offended by words have been called sp amp,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
It did not get easier for Wallace Miller got to the heart of the problem year long deep state plot to remove duly elected President,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Do you guys remember Paulbot Adam Kokesh who use to work at organized an armed march on DC bunch of people fell for it were going to march on DC This weird stuff has been going on for years Use your noggin folks If it smells like gefilte fish stay away from it,Implicit White Supremacism,Explicit White Supremacism,Other hate Speech,1,2,3,1,1,1,1
The tweet announcing the release of our magazine has 54 fewer likes than it used to indicating that approximately 12 of the people who liked that one post have been purged by Twitter in the last weeks,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Ask Trump Voters to Retweet this video made by the Taiwanese people so the Libs can enjoy it too,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
Beware Zionist propagandists including this campaign adviser are sharing this video from Ukraine and lying that it shows rockets fired from Gaza Their purpose is to encourage more slaughter of Palestinians,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
The goal is to control knowledges and make them all run in accordance with Social Justice Theory,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
YouTube deletes entire channel of Spain populist Vox Party This after Facebook removed numerous pro Vox pages which had combined reach of millions just days before Spain national election But there no political bias honest,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
am sure they need you shilling this to them lol,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
You re fuckin legend king,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
What mockery of justice The Court permits universities to define for themselves what they think legitimate leaders for our country look like call that their educational mission then blesses their use of racial discrimination to achieve this mission coup by any name,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
You ve been brainwashed since birth by this equality bullshit so you automatically assume that there something fundamentally equal about all humans They ve inserted this notion into your brain that all humans either are equal or should be treated equally Get rid of it,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
So the official story is that Iran decided to attack Japanese oil tanker while Japan prime minister was visiting Iran on peacemaking visit This is the lie It constantly shifting goal post and they want you to just lay down and take the abuse like good little submissive fuckwit do not bend the knee to bullies and liars US government released the video so it cannot even be denied that the Media is spreading government propaganda Americans could care less about these oil tankers There several other stories of greater relevance to Americans and this is not story that will generate clicks for revenue The Media has made it their top story because it is the propaganda they want spread Anytime you see the NYT WaPo and CNN running the same Middle East story as their top headline you know this is CIA Mossad operation,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Bill Clinto is rapist,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
CNN has been repeatedly blasting this student hero as liar now he just released more details which back up his claims that CNN forced students to read scripts BlueLivesMatter BackTheBlue Full Story,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
agree that it would be good but do not think enough dairy farms have survived to be able to supply such quantities of milk anymore along with the domestic milk supply had dairy farms close to me only one very small dairy still milking,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Stay frosty,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Who do you think owns social media,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
The objects of my party are as follows the vision of Sir Henry Parkes of Australia as an English speaking predominantly European Christian Commonwealth as originally described in 1901 when Australia as nation was founded,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
Sr VP take look at how the ideologies being discussed around the recent mass shootings match up reality Because we live in an insane world it was pointed out to me this could be misinterpreted as some kind of threat against Apple or Facebook,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
Are we going to let these woke morons wreck everything It time to stand up to this nonsense,Explicit White Supremacism,Explicit White Supremacism,Other hate Speech,2,2,3,1,1,1,1
Get on it Well worth it,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
All peoples had slaves committed genocides in their histories and yet ONLY whites are told they must pay for it today Blacks picking cotton in the American South did not build America Whites built America with our own blood sweat and tears We don have to give it away,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
JUST IN Can you help Police have are appealing for public assistance to find out Danielle Easey last movements The 29yo body was found wrapped in plastic and floating in creek near Newcastle on Saturday morning,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Of course they are that the idea No more punting piss or smokes,Neutral,Implicit White Supremacism,Explicit White Supremacism,0,1,2,0,1,1,1
went anonymous long time ago long before ever got on Twitter,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
Attention Ms Farquit Australia would be grateful if you left,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
For the fascists would you be willing to work with the other two groups,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Anti Fascist Protester Run Over by Truck via,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
All mass shootings are eventually turned into fake amp,Implicit White Supremacism,Neutral,Implicit White Supremacism,1,0,1,1,0,1,1
Yeah our ancestors built and bled for the West to hand it onto anyone that comes along that is what motivated them,Other hate Speech,Neutral,Implicit White Supremacism,3,0,1,1,0,1,1
appreciate that brother,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Name story where Fox DELIBERATELY LIED about Obama or Hillary and Fox made retraction Cite it or shut up,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
Who mentioned commercial Dugong industry said the Aborigines slaughter them for fun It sport for them Entertainment Not just food If read my first tweet in thread make point Green Politician will never criticise Aboriginal regardless of their crimes Hypocrisy,Neutral,Implicit White Supremacism,Other hate Speech,0,1,3,0,1,1,1
It would be infested with every VD that doing the rounds of her community Trash,Implicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,1,1,2,1,1,1,1
Cry me fucking river How many non Europeans live off of the system with kids But if white family does it they re shamed for it by the mainstream media Obvious agenda Screw this system Take everything you can get from it,Explicit White Supremacism,Other hate Speech,Explicit White Supremacism,2,3,2,1,1,1,1
Simply being White amp,Implicit White Supremacism,Other hate Speech,Explicit White Supremacism,1,3,2,1,1,1,1
would hope someone asking tp be our President would know AK 47s machine guns were banned decades ago You re trying to ban all semi automatic weapons which is absurd,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
Precisely right There is nothing chaotic about Nordic or Celtic knot design,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
UNPOPULAR OPINION Being mother is blessing not disability so why do they get their own designated car spots,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
Did The Inspector General Help The Whistleblower Try To Frame Trump,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
America is more polarized than ever Echo chambers have never been more echoey But there will always be one thing every person of reasonable thinking can agree on Ben Shapiro is an utter clown,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
Humanidad antes de la religi,Other hate Speech,Neutral,Other hate Speech,3,0,3,1,0,1,1
Don forget to check out my latest interview with my gorgeous boyfriend dougal cameron of Carnage House Productions Link shared on their Instagram Page Bio Link Be sure to Follow Subscribe to them repost,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
ASIO has warned up to thousand asylum seekers could arrive in Australia within weeks if medical transfers bill becomes law,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Spoken like true Marxist,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
